title,genres,language,year,mood,keywords,rating
Inception,"sci-fi|thriller|action",English,2010,"mind-bending|serious","dream|time|heist",8.8
Interstellar,"sci-fi|drama|adventure",English,2014,"emotional|thoughtful","space|time|love",8.7
3 Idiots,"comedy|drama|family",Hindi,2009,"funny|inspiring","college|friendship|education",8.4
The Dark Knight,"action|thriller|crime",English,2008,"dark|intense","joker|hero|city",9.0
Zindagi Na Milegi Dobara,"drama|adventure|comedy",Hindi,2011,"travel|feel-good","road trip|friendship|life",8.2
Avengers: Endgame,"action|sci-fi|adventure",English,2019,"exciting|epic","superhero|battle|time",8.4
Taare Zameen Par,"drama|family",Hindi,2007,"emotional|inspiring","child|school|learning",8.9
Iron Man,"action|sci-fi|adventure",English,2008,"exciting|smart","hero|tech|armor",7.9
Dangal,"drama|sport",Hindi,2016,"motivational|inspiring","wrestling|family|achievement",8.4
The Pursuit of Happyness,"drama|biography",English,2006,"emotional|motivating","success|family|struggle",8.0
Joker,"drama|crime|thriller",English,2019,"dark|serious","mental|society|villain",8.4
PK,"comedy|drama",Hindi,2014,"funny|thought-provoking","alien|society|belief",8.1
Shershaah,"action|drama|war",Hindi,2021,"emotional|heroic","army|patriotism|sacrifice",8.5
Spider-Man: No Way Home,"action|adventure|sci-fi",English,2021,"exciting|fun","superhero|multiverse|hero",8.3
Bahubali: The Beginning,"action|drama|fantasy",Hindi,2015,"epic|grand","kingdom|war|power",8.1
